race_date,race_id,race_no,horse_id,horse_name,jockey,trainer,course,target_finish_position,target_won,distance,f_horse_age,f_declared_weight,f_horse_weight,f_weight_change_pct,f_current_rating,f_rating_change,f_days_since_last_run,f_gallop_count_7d,f_gallop_count_14d,f_gallop_count_28d,f_gallop_last_time_sec,f_swim_count_14d,f_trot_count_14d,f_intensity_score_14d,f_has_partner_gallop,f_gallop_jockey_match_flag,f_vet_days_since_injury,f_vet_recovery_days,f_vet_tendon_issue,f_vet_recent_90d_flag,f_incident_last_days,f_incident_slow_out_flag,f_incident_blocked_flag,f_exp_distance_delta,f_exp_gear_first_time,f_exp_gear_removed,f_exp_rating_drop,f_career_total_runs,f_career_win_rate,f_career_top3_rate,f_career_avg_rank_last3,f_career_avg_margin_last3,f_course_cd_win_rate,f_best_time_sec,f_pace_style_code,f_import_ISG,f_import_PP,f_horse_weight_z,f_current_rating_z,f_intensity_score_14d_z,f_career_avg_rank_last3_z,f_draw_pct,f_rating_change_pct,f_best_time_sec_pct,fold
15/07/2026,861,4,HK_2024_K383,傲然,巫顯東 (-2),鄭俊偉,跑馬地,12,0,1650,5,121.0,1055.0,0.0208530805687203,44,-3,32,1,1,3,26.5,2,11,10.5,0,0,76,11,0,1,32,0,0,0,0,0,-22,10,0.0,0.0,11.666666666666666,8.666666666666666,0.0,99.71,3,0,1,-0.9530206712435249,-1.1801167244025683,-2.132676001557028,1.6442885534303346,0.4545454545454545,0.0,0.1818181818181818,2
15/07/2026,862,5,HK_2024_K297,葳莉非凡,莫雷拉,方嘉柏,跑馬地,3,0,1200,4,135.0,1145.0,0.0008733624454148,60,0,11,0,1,1,25.1,10,10,18.0,0,0,120,55,1,0,11,0,0,0,0,0,0,10,0.1,0.6,5.0,6.583333333333333,0.0,68.69,2,0,0,1.8124114490772356,2.1933784650417927,-0.4762953671570322,-1.0426446767809636,0.2727272727272727,0.5454545454545454,0.0,1
15/07/2026,862,5,HK_2023_J299,凝聚美麗,巴度,巫偉傑,跑馬地,9,0,1200,5,131.0,1055.0,-0.0009478672985781,56,2,14,1,1,3,28.8,0,12,9.0,0,0,744,81,0,0,14,0,0,0,0,0,0,26,0.0384615384615384,0.2692307692307692,3.6666666666666665,0.65,0.0,69.13,2,0,1,-0.7100168563395325,1.3578057164544433,-1.6453839956333836,-1.5357180214655577,0.8181818181818182,1.0,0.1818181818181818,1
15/07/2026,862,5,HK_2025_L050,快樂神駒,霍宏聲,廖康銘,跑馬地,4,0,1200,4,127.0,1086.0,-0.0027624309392265,52,1,21,1,2,2,25.1,2,14,15.0,0,0,331,-1,0,0,21,0,0,0,0,0,0,8,0.0,0.375,6.0,5.75,0.0,69.43,1,0,0,0.1588195599706875,0.5222329678670935,-0.8659915766491493,-0.6728396682675184,0.9090909090909092,0.9090909090909092,0.4545454545454545,1
15/07/2026,862,5,HK_2024_K111,盛勢威楓,艾兆禮,賀賢,跑馬地,7,0,1200,4,125.0,1085.0,-0.0055299539170506,50,0,70,0,0,2,26.4,11,10,18.5,0,0,411,-1,0,0,70,0,0,-450,0,0,0,19,0.1052631578947368,0.3157894736842105,6.666666666666667,10.5,0.0,69.34,1,0,0,0.13079257879939,0.1044465935734187,-0.411345998908346,-0.4263029959252215,0.0,0.6363636363636364,0.2727272727272727,1
15/07/2026,862,5,HK_2024_K558,帶贏來,黃智弘 (-3),大衛希斯,跑馬地,11,0,1200,3,122.0,1097.0,-0.0063810391978122,47,-3,24,1,2,4,26.0,13,9,26.0,0,0,136,71,0,0,24,0,0,0,0,0,0,0,0.0,0.0,12.666666666666666,7.583333333333333,0.0,69.89,2,0,0,0.4671163528549591,-0.5222329678670935,0.5628945248219468,1.7925270551554493,0.5454545454545454,0.0,0.7272727272727273,1
15/07/2026,862,5,HK_2021_G192,大才,潘明輝,葉楚航,跑馬地,2,0,1200,8,121.0,1090.0,0.0073394495412844,46,0,18,1,1,1,28.0,13,12,22.0,0,1,1586,6,0,0,18,0,0,0,0,0,0,45,0.0888888888888888,0.2888888888888888,5.666666666666667,3.25,0.0,68.74,3,0,1,0.2709274846558772,-0.731126155013931,0.0432995788324573,-0.7961080044386667,0.1818181818181818,0.7272727272727273,0.0909090909090909,1
15/07/2026,862,5,HK_2024_K565,威威神駒,田泰安,韋達,跑馬地,8,0,1200,3,121.0,1062.0,0.0037664783427495,46,-2,24,2,3,4,24.2,1,10,15.0,1,0,376,-1,0,0,24,0,0,0,0,0,0,5,0.0,0.0,10.666666666666666,6.166666666666667,0.0,69.83,3,0,0,-0.5138279881404506,-0.731126155013931,-0.8659915766491493,1.0529170381285589,0.3636363636363636,0.0909090909090909,0.6363636363636364,1
15/07/2026,862,5,HK_2024_K231,久久為軍,鍾易禮 (-2),告東尼,跑馬地,6,0,1200,4,121.0,1093.0,-0.000914913083257,46,-2,18,2,2,3,26.5,0,15,13.5,0,0,164,12,0,0,18,0,0,0,0,0,-20,20,0.05,0.1,9.0,6.916666666666667,0.0,69.41,2,0,1,0.3550084281697694,-0.731126155013931,-1.060839681395208,0.4365753572728171,0.7272727272727273,0.1818181818181818,0.3636363636363636,1
15/07/2026,863,6,HK_2023_J039,穿甲戰鷹,艾兆禮,廖康銘,跑馬地,4,0,1200,6,135.0,1169.0,-0.0008554319931565,60,0,18,2,2,2,24.6,14,13,26.5,0,0,801,131,0,0,18,0,0,0,0,0,0,31,0.032258064516129,0.3548387096774194,8.0,3.8333333333333335,0.0,67.85,3,0,1,1.1093106597170546,1.2139394957738217,0.3048553804248461,0.3142696805273546,0.4545454545454545,0.4545454545454545,0.0,3
