race_date,race_id,race_no,horse_id,horse_name,jockey,trainer,distance,course,f_horse_age,f_draw,f_declared_weight,f_horse_weight,f_weight_change,f_weight_change_pct,f_current_rating,f_rating_change,f_days_since_last_run,f_gallop_count_7d,f_gallop_count_14d,f_gallop_count_28d,f_gallop_last_time_sec,f_swim_count_14d,f_trot_count_14d,f_intensity_score_14d,f_has_partner_gallop,f_gallop_jockey_match_flag,f_vet_days_since_injury,f_vet_recovery_days,f_vet_tendon_issue,f_vet_total_incidents_count,f_vet_recent_90d_flag,f_incident_last_days,f_incident_slow_out_flag,f_incident_gear_lost_flag,f_incident_blocked_flag,f_incident_count_last_5,f_exp_distance_delta,f_exp_gear_first_time,f_exp_gear_removed,f_exp_rating_drop,f_career_total_runs,f_career_win_rate,f_career_top3_rate,f_career_avg_rank_last3,f_career_avg_rank_last5,f_career_avg_margin_last3,f_course_cd_win_rate,f_best_time_sec,f_pace_style_code,f_import_ISG,f_import_PP,f_import_PPG,f_declared_weight_z,f_horse_weight_z,f_current_rating_z,f_intensity_score_14d_z,f_career_avg_rank_last3_z,f_draw_pct,f_rating_change_pct,f_best_time_sec_pct,target_finish_position,target_won
15/07/2026,859,2,HK_2024_K229,三強,楊明綸,鄭俊偉,1200,跑馬地,5,12,122.0,1154.0,13.0,0.011265164644714038,46,-2,21,2,3,3,25.3,6,10,20.0,0,0,514,9,0,1,0,21,0,0,0,1,0,0,1,0,19,0.05263157894736842,0.21052631578947367,8.333333333333334,6.2,5.083333333333333,0.08333333333333333,69.42,3,0,1,0,-0.5228763864480568,0.3661300540228854,-0.5228763864480582,-0.5120175820435006,0.14905426285241583,1.0,0.09090909090909091,0.5454545454545454,10,0
15/07/2026,859,2,HK_2023_J398,金駒永騰,黃智弘 (-3),伍鵬志,1200,跑馬地,6,6,122.0,1202.0,6.0,0.004991680532445923,46,-2,14,2,2,3,26.4,10,12,22.0,0,0,771,-1,0,1,0,14,1,0,1,1,0,0,0,0,21,0.0,0.09523809523809523,10.666666666666666,11.0,6.583333333333333,0.0,68.89,1,0,1,0,-0.5228763864480568,1.2712412605343926,-0.5228763864480582,-0.14519901580338093,0.8258411860741949,0.45454545454545453,0.18181818181818182,0.0,5,0
15/07/2026,859,2,HK_2023_J359,天下寵兒,艾兆禮,廖康銘,1200,跑馬地,5,5,121.0,1118.0,9.0,0.008050089445438283,45,2,42,1,3,4,23.3,0,13,15.5,0,0,827,7,0,1,0,42,0,0,0,1,0,0,0,0,27,0.037037037037037035,0.4444444444444444,4.0,4.4,2.4833333333333334,0.07142857142857142,69.12,1,0,0,1,-0.7252801489440792,-0.31270335086074497,-0.7252801489440807,-1.3373593560837698,-1.1078357374166032,0.36363636363636365,1.0,0.18181818181818182,2,0
15/07/2026,859,2,HK_2022_H454,良駒好友,梁家俊,文家良,1200,跑馬地,6,10,119.0,1192.0,2.0,0.0016778523489932886,43,-2,35,1,2,4,24.4,7,15,20.5,0,0,549,16,0,1,0,35,0,0,0,1,0,0,0,0,40,0.075,0.125,5.666666666666667,5.6,2.5,0.06666666666666667,69.04,2,0,1,0,-1.1300876739361239,1.0826764258444952,-1.1300876739361254,-0.4203129404834707,-0.6244165065439036,0.8181818181818182,0.2727272727272727,0.09090909090909091,9,0
15/07/2026,859,2,HK_2022_H134,精益大師,黃寶妮 (-7),葉楚航,1200,跑馬地,6,11,118.0,1128.0,12.0,0.010638297872340425,42,0,21,1,2,2,26.0,13,14,26.0,0,0,1217,-1,0,1,0,21,0,0,0,1,0,0,0,-16,47,0.06382978723404255,0.3191489361702128,5.333333333333333,6.4,4.683333333333334,0.0625,69.45,1,0,1,0,-1.3324914364321463,-0.12413851617084763,-1.3324914364321478,0.5884381166768584,-0.7211003527184436,0.9090909090909091,0.7272727272727273,0.6363636363636364,6,0
15/07/2026,860,3,HK_2023_J266,香港神駒,艾道拿,沈集成,1800,跑馬地,6,5,135.0,1017.0,-10.0,-0.00983284169124877,58,0,49,2,2,4,25.7,13,15,29.0,0,1,719,-1,0,1,0,49,0,0,0,1,0,0,0,0,31,0.0967741935483871,0.25806451612903225,6.666666666666667,5.6,3.733333333333333,1.0,108.72,3,0,1,0,1.9126494315742406,-1.1209233570582113,1.9126494315742406,1.014466370910119,0.18326784374957827,0.36363636363636365,0.7272727272727273,0.6363636363636364,11,0
15/07/2026,860,3,HK_2023_J494,領航天子,霍宏聲,廖康銘,1800,跑馬地,5,2,133.0,962.0,-12.0,-0.012474012474012475,56,-2,7,0,2,2,26.1,11,11,22.5,0,0,406,22,0,1,0,7,0,0,0,1,0,0,0,0,15,0.06666666666666667,0.13333333333333333,5.333333333333333,4.8,2.6666666666666665,0.0,114.63,3,0,1,0,1.462614271203831,-1.8248333624420556,1.462614271203831,0.03150516679845073,-0.40318925624907204,0.09090909090909091,0.09090909090909091,0.9090909090909091,4,0
15/07/2026,860,3,HK_2022_H388,風火恆雲,何澤堯,姚本輝,1800,跑馬地,6,11,129.0,1104.0,-6.0,-0.005434782608695652,52,0,18,2,2,2,25.3,11,12,23.0,0,1,418,136,0,1,0,18,0,0,0,1,0,0,0,0,31,0.0967741935483871,0.2903225806451613,5.666666666666667,5.4,3.1833333333333336,0.0,106.74,3,0,0,1,0.562543950463012,-0.007465712178312528,0.562543950463012,0.1071175671147329,-0.2565749812494093,0.9090909090909091,0.8181818181818182,0.09090909090909091,10,0
15/07/2026,860,3,HK_2022_H296,八駿笑昇,布文,告東尼,1800,跑馬地,6,7,128.0,1117.0,-10.0,-0.008952551477170993,51,-2,32,2,3,5,27.0,14,15,30.5,0,0,843,25,0,1,0,32,0,0,0,1,0,0,0,0,41,0.07317073170731707,0.2682926829268293,8.333333333333334,6.6,5.5,0.125,107.8,3,0,1,0,0.3375263702778072,0.15891301636695973,0.3375263702778072,1.2413035718589656,0.916339218747891,0.5454545454545454,0.18181818181818182,0.45454545454545453,3,0
15/07/2026,860,3,HK_2023_J452,步風雷,艾兆禮,伍鵬志,1800,跑馬地,4,12,128.0,1051.0,-10.0,-0.009514747859181731,51,-1,21,2,4,4,27.4,11,14,30.0,0,1,108,18,0,1,0,21,1,0,0,1,0,0,0,0,22,0.09090909090909091,0.45454545454545453,11.0,7.0,10.583333333333334,0.25,107.33,3,0,0,1,0.3375263702778072,-0.6857789900936533,0.3375263702778072,1.1656911715426834,2.0892534187451908,1.0,0.6363636363636364,0.2727272727272727,6,0
